Name,Slug,Category,Brand,Description,Price,Compare_Price,SKU,Image
"OnePlus Next-Gen Smartwatch V1","oneplus-next-gen-smartwatch-v1-a5ea","mobiles-wearables","OnePlus","Experience the pinnacle of electronic engineering with the OnePlus Next-Gen Smartwatch V1. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",69194,79573,"ELEC-D3D21D86","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"OnePlus Elite Smartphone V2","oneplus-elite-smartphone-v2-f102","mobiles-wearables","OnePlus","Experience the pinnacle of electronic engineering with the OnePlus Elite Smartphone V2. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",77201,88781,"ELEC-4A3E3A4B","https://images.unsplash.com/photo-1491472253230-a044054ca35f"
"OnePlus Smart Smartwatch V3","oneplus-smart-smartwatch-v3-cdb4","mobiles-wearables","OnePlus","Experience the pinnacle of electronic engineering with the OnePlus Smart Smartwatch V3. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",73082,84044,"ELEC-63BB5B09","https://images.unsplash.com/photo-1491472253230-a044054ca35f"
"Samsung Elite Fitness Tracker V4","samsung-elite-fitness-tracker-v4-7b8a","mobiles-wearables","Samsung","Experience the pinnacle of electronic engineering with the Samsung Elite Fitness Tracker V4. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",74202,85332,"ELEC-BACAFFAA","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Garmin Smart Smartphone V5","garmin-smart-smartphone-v5-72e1","mobiles-wearables","Garmin","Experience the pinnacle of electronic engineering with the Garmin Smart Smartphone V5. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",72706,83611,"ELEC-0229E4F2","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Samsung Ultra Smartwatch V6","samsung-ultra-smartwatch-v6-9adf","mobiles-wearables","Samsung","Experience the pinnacle of electronic engineering with the Samsung Ultra Smartwatch V6. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",37516,43143,"ELEC-DF7E5CDE","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Apple Smart Wireless Charger V7","apple-smart-wireless-charger-v7-2547","mobiles-wearables","Apple","Experience the pinnacle of electronic engineering with the Apple Smart Wireless Charger V7. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",22107,25423,"ELEC-1E9D3172","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Google Elite Smartphone V8","google-elite-smartphone-v8-c493","mobiles-wearables","Google","Experience the pinnacle of electronic engineering with the Google Elite Smartphone V8. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",27888,32071,"ELEC-2FA3FD76","https://images.unsplash.com/photo-1496181133206-80ce9b88a853"
"OnePlus Elite Fitness Tracker V9","oneplus-elite-fitness-tracker-v9-ab2d","mobiles-wearables","OnePlus","Experience the pinnacle of electronic engineering with the OnePlus Elite Fitness Tracker V9. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",54671,62871,"ELEC-F7A3CD1F","https://images.unsplash.com/photo-1491472253230-a044054ca35f"
"Google Advanced Power Bank V10","google-advanced-power-bank-v10-3f2a","mobiles-wearables","Google","Experience the pinnacle of electronic engineering with the Google Advanced Power Bank V10. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",69406,79816,"ELEC-B7C1CBBF","https://images.unsplash.com/photo-1491472253230-a044054ca35f"
"Dell Premium Mechanical Keyboard V1","dell-premium-mechanical-keyboard-v1-49bd","computers-laptops","Dell","Experience the pinnacle of electronic engineering with the Dell Premium Mechanical Keyboard V1. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",42140,48460,"ELEC-11ADE3B0","https://images.unsplash.com/photo-1496181133206-80ce9b88a853"
"Corsair Smart Mechanical Keyboard V2","corsair-smart-mechanical-keyboard-v2-c276","computers-laptops","Corsair","Experience the pinnacle of electronic engineering with the Corsair Smart Mechanical Keyboard V2. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",15970,18365,"ELEC-632BE95D","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"HP Ultra Curved Monitor V3","hp-ultra-curved-monitor-v3-5e9c","computers-laptops","HP","Experience the pinnacle of electronic engineering with the HP Ultra Curved Monitor V3. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",43041,49497,"ELEC-984A4D31","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Dell Ultra Mechanical Keyboard V4","dell-ultra-mechanical-keyboard-v4-b117","computers-laptops","Dell","Experience the pinnacle of electronic engineering with the Dell Ultra Mechanical Keyboard V4. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",8447,9714,"ELEC-D426B85A","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"HP Premium Ultrabook V5","hp-premium-ultrabook-v5-128d","computers-laptops","HP","Experience the pinnacle of electronic engineering with the HP Premium Ultrabook V5. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",66681,76683,"ELEC-9C43C114","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Dell Elite Wireless Mouse V6","dell-elite-wireless-mouse-v6-5454","computers-laptops","Dell","Experience the pinnacle of electronic engineering with the Dell Elite Wireless Mouse V6. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",69457,79875,"ELEC-E32F3276","https://images.unsplash.com/photo-1496181133206-80ce9b88a853"
"Lenovo Ultra Wireless Mouse V7","lenovo-ultra-wireless-mouse-v7-15fb","computers-laptops","Lenovo","Experience the pinnacle of electronic engineering with the Lenovo Ultra Wireless Mouse V7. Fully equipped with industry-leading technology, seamless integration, and unparalleled performance. Ships immediately.",17061,19620,"ELEC-E0081C1F","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
