Name,Slug,Category,Brand,Description,Price,Compare_Price,SKU,Image
"Sony Premium Electronics Bundle 1","sony-premium-electronics-bundle-1-969b","electronics","Sony","This is dummy data for Sony Premium Electronics Bundle 1. Includes premium features and excellent build quality out of the box.",1637,1964,"SKU-DBA9D88E","https://images.unsplash.com/photo-1560343090-f0409e92791a"
"Apple Pro Electronics Set 2","apple-pro-electronics-set-2-405d","electronics","Apple","This is dummy data for Apple Pro Electronics Set 2. Includes premium features and excellent build quality out of the box.",4331,5197,"SKU-0FA783D4","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Samsung Smart Electronics Pack 3","samsung-smart-electronics-pack-3-2ea2","electronics","Samsung","This is dummy data for Samsung Smart Electronics Pack 3. Includes premium features and excellent build quality out of the box.",1413,1695,"SKU-4F0EB726","https://images.unsplash.com/photo-1560343090-f0409e92791a"
"Dell Smart Electronics Bundle 4","dell-smart-electronics-bundle-4-f46d","electronics","Dell","This is dummy data for Dell Smart Electronics Bundle 4. Includes premium features and excellent build quality out of the box.",4651,5581,"SKU-BDBEBA64","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Sony Essential Electronics Edition 5","sony-essential-electronics-edition-5-a856","electronics","Sony","This is dummy data for Sony Essential Electronics Edition 5. Includes premium features and excellent build quality out of the box.",4061,4873,"SKU-ACE8B6EB","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Apple Classic Electronics Pack 6","apple-classic-electronics-pack-6-fc69","electronics","Apple","This is dummy data for Apple Classic Electronics Pack 6. Includes premium features and excellent build quality out of the box.",3101,3721,"SKU-7D7613A4","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Samsung Pro Electronics Pack 7","samsung-pro-electronics-pack-7-a683","electronics","Samsung","This is dummy data for Samsung Pro Electronics Pack 7. Includes premium features and excellent build quality out of the box.",1330,1596,"SKU-D5141A13","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
"Dell Pro Electronics Pack 8","dell-pro-electronics-pack-8-f8bb","electronics","Dell","This is dummy data for Dell Pro Electronics Pack 8. Includes premium features and excellent build quality out of the box.",8937,10724,"SKU-B1207C15","https://images.unsplash.com/photo-1505740420928-5e560c06d30e"
"Sony Advanced Electronics Pack 9","sony-advanced-electronics-pack-9-f97d","electronics","Sony","This is dummy data for Sony Advanced Electronics Pack 9. Includes premium features and excellent build quality out of the box.",8574,10288,"SKU-0427E1B6","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Nike Advanced Fashion Edition 1","nike-advanced-fashion-edition-1-7e79","fashion","Nike","This is dummy data for Nike Advanced Fashion Edition 1. Includes premium features and excellent build quality out of the box.",4967,5960,"SKU-D986740D","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Adidas Essential Fashion Set 2","adidas-essential-fashion-set-2-7804","fashion","Adidas","This is dummy data for Adidas Essential Fashion Set 2. Includes premium features and excellent build quality out of the box.",9185,11022,"SKU-40799FFA","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
"Puma Classic Fashion Set 3","puma-classic-fashion-set-3-fbbe","fashion","Puma","This is dummy data for Puma Classic Fashion Set 3. Includes premium features and excellent build quality out of the box.",285,342,"SKU-8B083004","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"Zara Pro Fashion Set 4","zara-pro-fashion-set-4-f794","fashion","Zara","This is dummy data for Zara Pro Fashion Set 4. Includes premium features and excellent build quality out of the box.",2947,3536,"SKU-206441F2","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Nike Ultra Fashion Bundle 5","nike-ultra-fashion-bundle-5-2a34","fashion","Nike","This is dummy data for Nike Ultra Fashion Bundle 5. Includes premium features and excellent build quality out of the box.",5116,6139,"SKU-80FB4D9A","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Adidas Advanced Fashion Unit 6","adidas-advanced-fashion-unit-6-4191","fashion","Adidas","This is dummy data for Adidas Advanced Fashion Unit 6. Includes premium features and excellent build quality out of the box.",5188,6225,"SKU-13C4E51F","https://images.unsplash.com/photo-1526170375885-4d8ecf77b99f"
"Puma Advanced Fashion Pack 7","puma-advanced-fashion-pack-7-b7a0","fashion","Puma","This is dummy data for Puma Advanced Fashion Pack 7. Includes premium features and excellent build quality out of the box.",7549,9058,"SKU-08815E4D","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Zara Smart Fashion Bundle 8","zara-smart-fashion-bundle-8-067a","fashion","Zara","This is dummy data for Zara Smart Fashion Bundle 8. Includes premium features and excellent build quality out of the box.",5754,6904,"SKU-1AA32103","https://images.unsplash.com/photo-1542291026-7eec264c27ff"
"Nike Essential Fashion Set 9","nike-essential-fashion-set-9-6d92","fashion","Nike","This is dummy data for Nike Essential Fashion Set 9. Includes premium features and excellent build quality out of the box.",8895,10674,"SKU-2C4A946E","https://images.unsplash.com/photo-1627384113743-6bd5a479fffd"
"IKEA Classic Home Unit 1","ikea-classic-home-unit-1-8f9d","home-and-living","IKEA","This is dummy data for IKEA Classic Home Unit 1. Includes premium features and excellent build quality out of the box.",4830,5796,"SKU-37A85BE4","https://images.unsplash.com/photo-1583394838336-acd977736f90"
"Philips Premium Home Set 2","philips-premium-home-set-2-953c","home-and-living","Philips","This is dummy data for Philips Premium Home Set 2. Includes premium features and excellent build quality out of the box.",1483,1779,"SKU-21A78822","https://images.unsplash.com/photo-1523275335684-37898b6baf30"
